solver,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Llama3-1B,Llama3-3B,Llama3-8B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B
Qwen3-0.6B,0.018135,0.033679,0.012953,0.007772,-0.007772,0.036269,0.002591,-0.002591,0.012953,0.007772,0.028497,0.020725
Qwen3-1.7B,0.000000,0.003135,0.000000,0.004180,0.000000,0.002090,0.000000,-0.002090,-0.005225,0.000000,0.000000,0.000000
Qwen3-4B,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Qwen2.5-0.5B,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Qwen2.5-1.5B,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Qwen2.5-3B,0.000000,0.005149,0.005149,0.001030,0.001030,0.001030,0.001030,0.002060,0.002060,0.002060,0.002060,0.005149
Llama3-1B,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Llama3-3B,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Llama3-8B,0.000000,0.000000,0.005236,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
DeepSeek-1.5B,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
DeepSeek-7B,-0.001337,0.001337,0.000000,0.045455,0.002674,0.010695,0.041444,0.014706,-0.034759,0.012032,0.002674,0.004011
DeepSeek-14B,-0.002092,0.000000,0.000000,0.020921,0.011506,0.001046,0.028243,0.006276,0.001046,0.002092,-0.002092,0.000000
