solver,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Llama3-1B,Llama3-3B,Llama3-8B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B
Qwen3-0.6B,0.026846,0.006711,0.023490,-0.006711,0.003356,0.003356,0.006711,0.013423,0.040268,0.020134,0.036913,0.043624
Qwen3-1.7B,-0.016779,0.000000,-0.010067,-0.050336,-0.016779,-0.010067,-0.030201,-0.013423,-0.030201,-0.026846,-0.006711,0.000000
Qwen3-4B,0.003236,-0.009709,-0.003236,0.003236,0.016181,0.003236,0.009709,-0.009709,0.000000,-0.016181,0.003236,0.000000
Qwen2.5-0.5B,0.067308,0.110577,0.134615,0.062500,0.062500,0.038462,0.086538,0.115385,0.052885,0.033654,0.081731,0.173077
Qwen2.5-1.5B,0.034351,0.045802,0.099237,-0.007634,0.007634,-0.011450,0.003817,-0.022901,-0.003817,-0.003817,0.026718,0.038168
Qwen2.5-3B,0.007380,0.040590,0.077491,0.051661,0.000000,0.003690,0.036900,0.025830,0.059041,0.018450,0.047970,0.077491
Llama3-1B,-0.011364,0.045455,0.079545,0.079545,0.000000,0.000000,0.090909,0.022727,0.068182,0.000000,-0.011364,0.011364
Llama3-3B,0.007752,0.050388,0.089147,0.003876,-0.015504,0.023256,-0.011628,-0.011628,0.015504,-0.003876,0.042636,0.069767
Llama3-8B,0.018727,0.052434,0.056180,0.014981,-0.011236,0.011236,0.018727,0.026217,0.014981,0.037453,0.011236,0.044944
DeepSeek-1.5B,0.000000,0.000000,0.028846,0.048077,-0.009615,0.009615,0.028846,0.000000,0.038462,0.000000,0.028846,0.019231
DeepSeek-7B,0.013514,0.000000,0.006757,0.006757,0.040541,0.013514,0.040541,0.027027,0.027027,0.047297,0.006757,0.000000
DeepSeek-14B,-0.015075,-0.020101,0.000000,-0.020101,0.005025,-0.005025,-0.025126,-0.010050,-0.015075,-0.025126,-0.010050,-0.010050
