solver,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Llama3-1B,Llama3-3B,Llama3-8B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B
Qwen3-0.6B,0.001046,0.000000,0.000000,0.004184,0.000000,0.000000,0.006276,0.001046,-0.001046,0.003138,0.000000,0.001046
Qwen3-1.7B,0.004020,-0.011055,-0.001005,-0.046231,-0.001005,0.002010,-0.030151,-0.004020,-0.013065,0.006030,0.005025,0.003015
Qwen3-4B,-0.002000,0.015000,0.007000,0.013000,0.002000,-0.009000,0.011000,0.001000,0.002000,-0.001000,-0.001000,0.000000
Qwen2.5-0.5B,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Qwen2.5-1.5B,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Qwen2.5-3B,-0.009000,-0.001000,0.004000,0.012000,-0.018000,0.000000,0.007000,-0.003000,-0.006000,0.008000,0.001000,0.003000
Llama3-1B,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Llama3-3B,0.024742,0.029897,0.053608,0.053608,0.001031,0.017526,0.043299,0.020619,0.027835,0.024742,0.024742,0.025773
Llama3-8B,0.045272,0.054326,0.081489,0.141851,0.025151,0.005030,0.093561,0.072435,0.057344,0.053320,0.034205,0.045272
DeepSeek-1.5B,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
DeepSeek-7B,-0.009018,0.001002,0.003006,0.030060,-0.018036,-0.004008,0.002004,-0.013026,-0.027054,0.009018,0.006012,0.000000
DeepSeek-14B,0.002000,0.008000,0.008000,0.000000,0.008000,0.000000,0.006000,-0.002000,0.001000,0.001000,0.006000,0.000000
