solver,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Llama3-1B,Llama3-3B,Llama3-8B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B
Qwen3-0.6B,-0.028169,-0.028169,-0.007042,-0.014085,-0.035211,0.021127,-0.021127,0.028169,0.007042,0.035211,0.042254,0.000000
Qwen3-1.7B,0.012048,-0.036145,-0.012048,0.024096,0.000000,0.012048,-0.048193,0.024096,0.012048,-0.012048,0.024096,0.012048
Qwen3-4B,0.021053,0.000000,0.010526,-0.031579,0.010526,0.021053,0.010526,-0.021053,-0.010526,-0.021053,0.021053,-0.010526
Qwen2.5-0.5B,0.016000,-0.016000,0.024000,0.008000,-0.008000,0.032000,-0.040000,-0.032000,-0.016000,-0.024000,-0.024000,-0.016000
Qwen2.5-1.5B,-0.052326,-0.011628,0.000000,-0.017442,-0.011628,0.000000,-0.011628,-0.005814,0.034884,-0.023256,-0.040698,-0.005814
Qwen2.5-3B,0.040000,0.011429,0.017143,0.000000,0.040000,0.017143,0.022857,0.005714,-0.005714,0.005714,-0.005714,-0.011429
Llama3-1B,-0.075000,-0.050000,0.000000,0.025000,0.000000,-0.050000,-0.050000,-0.025000,0.025000,-0.025000,-0.025000,-0.050000
Llama3-3B,0.014388,0.000000,0.000000,0.000000,-0.035971,0.000000,-0.079137,0.021583,-0.007194,0.000000,-0.057554,0.021583
Llama3-8B,0.007407,0.029630,0.029630,0.051852,-0.007407,0.007407,0.066667,0.066667,0.074074,0.029630,0.037037,0.051852
DeepSeek-1.5B,0.000000,0.153846,0.076923,0.076923,0.076923,0.076923,0.230769,0.000000,0.076923,0.076923,0.000000,0.000000
DeepSeek-7B,0.023256,0.023256,0.000000,0.046512,-0.069767,0.023256,0.093023,0.023256,0.000000,0.000000,0.023256,0.000000
DeepSeek-14B,0.020202,0.010101,0.000000,0.040404,0.010101,0.000000,0.010101,0.010101,-0.020202,0.040404,0.010101,0.010101
