solver,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Llama3-1B,Llama3-3B,Llama3-8B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B
Qwen3-0.6B,0.024865,0.076757,0.175135,0.018378,0.031351,0.019459,-0.003243,0.014054,0.049730,0.049730,0.054054,0.113514
Qwen3-1.7B,0.001115,0.008919,0.021182,0.011148,0.025641,0.010033,0.000000,0.014493,0.022297,-0.001115,0.008919,0.012263
Qwen3-4B,0.001279,0.001279,0.001279,0.002558,0.002558,0.001279,0.001279,0.001279,0.002558,0.000000,0.001279,0.000000
Qwen2.5-0.5B,0.012000,0.011000,0.014000,0.007000,0.012000,0.008000,0.008000,0.004000,0.002000,0.010000,0.012000,0.014000
Qwen2.5-1.5B,0.095238,0.214286,0.244048,0.013889,0.007937,0.071429,-0.009921,0.027778,0.031746,0.125000,0.198413,0.228175
Qwen2.5-3B,0.104555,0.231884,0.266046,-0.027950,0.003106,0.066253,0.004141,0.042443,0.022774,0.108696,0.189441,0.217391
Llama3-1B,0.053571,0.035714,0.059524,0.029762,0.023810,0.047619,-0.035714,0.011905,0.029762,0.053571,0.023810,0.059524
Llama3-3B,0.100752,0.227068,0.266165,0.000000,0.018045,0.084211,0.007519,0.007519,0.013534,0.114286,0.204511,0.239098
Llama3-8B,0.107574,0.238200,0.284303,0.029638,-0.024149,0.057080,0.009879,0.026345,0.050494,0.100988,0.186608,0.234907
DeepSeek-1.5B,0.043478,0.000000,0.043478,0.043478,0.000000,0.043478,-0.043478,0.000000,-0.043478,0.000000,0.000000,0.000000
DeepSeek-7B,0.008850,0.026549,0.000000,-0.035398,0.017699,-0.008850,0.000000,0.000000,-0.008850,0.008850,0.008850,-0.008850
DeepSeek-14B,0.001166,0.001166,0.004662,0.012821,0.008159,-0.002331,0.009324,0.002331,0.010490,0.003497,0.004662,0.002331
